"CD_GEOCMU";"OBJECTID";"NM_MUNICIP";"Municipio";"Area_km2";"Estado";"Area";"reg_saude"
"4218905";280;"URUBICI";"Urubici";"1015.76";"SC";"1015757705.21";"Serra Catarinense"
"4218954";281;"URUPEMA";"Urupema";"350.93";"SC";350928775127;"Serra Catarinense"
"4219002";282;"URUSSANGA";"Urussanga";"254.1";"SC";254099221953;"Carbonífera"
"4219101";283;"VARGEÃO";"Vargeão";"166.53";"SC";166533933865;"Xanxerê"
"4219150";284;"VARGEM";"Vargem";"350.93";"SC";"350934310.48";"Meio Oeste"
"4219176";285;"VARGEM BONITA";"Vargem Bonita";"298.92";"SC";298922192321;"Meio Oeste"
"4219200";286;"VIDAL RAMOS";"Vidal Ramos";"343.97";"SC";343968135247;"Alto Vale do Itajaí"
"4219309";287;"VIDEIRA";"Videira";"382.92";"SC";382918843159;"Alto Vale do Rio do Peixe"
"4219358";288;"VITOR MEIRELES";"Vitor Meireles";"371.07";"SC";371065741555;"Alto Vale do Itajaí"
"4219408";289;"WITMARSUM";"Witmarsum";"151.25";"SC";151251468395;"Alto Vale do Itajaí"
"4219507";290;"XANXERÊ";"Xanxerê";"377.34";"SC";377339332583;"Xanxerê"
"4219606";291;"XAVANTINA";"Xavantina";"216.6";"SC";216602494921;"Alto Uruguai Catarinense"
"4219705";292;"XAXIM";"Xaxim";294;"SC";293999612886;"Xanxerê"
"4219853";293;"ZORTÉA";"Zortéa";"189.29";"SC";189287822852;"Meio Oeste"
"4220000";294;"BALNEÁRIO RINCÃO";"Balneário Rincão";"63.28";"SC";63277766;"Carbonífera"
